Name,no_deg_bound,deg_bound4,deg_bound10,deg_bound15,max_deg
r1n2_1,-1.0,-1.0,-1.0,1.101042027,-1
r1n3_1,0.012364895,0.001838353,0.002047414,0.001368392,2
r1n3_3,0.00508815,0.000606819,-1.0,0.001256661,2
r1n4_3,-1.0,-1.0,-1.0,0.00357133,-1
r1n4_1,-1.0,-1.0,-1.0,0.010243009,-1
r1n4_7,-1.0,-1.0,-1.0,0.011028055,-1
r2n4_01,-1.0,-1.0,-1.0,0.026414298,-1
r1n5_03,-1.0,-1.0,-1.0,0.020692419,-1
r1n5_07,-1.0,-1.0,-1.0,0.021302654,-1
r2n4_03,-1.0,-1.0,-1.0,0.029597425,-1
r2n4_1e,-1.0,-1.0,-1.0,0.041418447,-1
r2n4_1f,-1.0,-1.0,-1.0,0.069396859,-1
r2n4_0b,-1.0,-1.0,-1.0,0.046978286,-1
r1n3_7,-1.0,-1.0,-1.0,0.006396705,-1
r0n1_1,-1.0,-1.0,-1.0,0.000208532,-1
r2n5_001,-1.0,-1.0,-1.0,0.087455676,-1
r1n6_07,-1.0,-1.0,-1.0,0.060469764,-1
r1n2_3,-1.0,-1.0,-1.0,0.000515924,-1
r2n5_003,-1.0,-1.0,-1.0,0.142135949,-1
r2n4_07,-1.0,-1.0,-1.0,0.042249825,-1
r2n5_013,-1.0,-1.0,-1.0,0.139391806,-1
r2n5_007,-1.0,-1.0,-1.0,0.266755946,-1
r1n4_f,-1.0,-1.0,-1.0,0.447149335,-1
r1n5_01,-1.0,-1.0,-1.0,0.685167313,-1
r1n5_0f,-1.0,-1.0,-1.0,0.622728283,-1
r2n5_07e,-1.0,-1.0,-1.0,0.242027362,-1
r1n6_03,-1.0,-1.0,-1.0,0.966446094,-1
r2n5_1ef,-1.0,-1.0,-1.0,0.286386746,-1
r2n5_036,-1.0,-1.0,-1.0,0.249486126,-1
r2n4_3f,-1.0,-1.0,-1.0,0.450844377,-1
r2n5_1ff,-1.0,-1.0,-1.0,0.992750051,-1
r2n5_037,-1.0,-1.0,-1.0,0.210378699,-1
r2n5_07f,-1.0,-1.0,-1.0,0.337372916,-1
r2n6_0003,-1.0,-1.0,-1.0,0.636095788,-1
r1n6_0f,-1.0,-1.0,-1.0,0.82948948,-1
r2n6_0001,-1.0,-1.0,-1.0,1.651335114,-1
r2n5_00f,-1.0,-1.0,-1.0,0.950902139,-1
r2n6_0023,-1.0,-1.0,-1.0,0.384952578,-1
r2n6_0007,-1.0,-1.0,-1.0,0.822369568,-1
r2n6_0066,-1.0,-1.0,-1.0,0.766258193,-1
r2n6_3dff,-1.0,-1.0,-1.0,1.854287908,-1
r2n6_0067,-1.0,-1.0,-1.0,0.817350785,-1
r2n6_00ee,-1.0,-1.0,-1.0,0.857392121,-1
r2n7_000003,-1.0,-1.0,-1.0,6.084290611,-1
r2n7_000007,-1.0,-1.0,-1.0,2.85163759,-1
r2n5_0b7,-1.0,-1.0,-1.0,0.908781544,-1
r2n6_0fdf,-1.0,-1.0,-1.0,1.693377898,-1
r2n6_000f,-1.0,-1.0,-1.0,4.740375425,-1
r2n6_06cf,-1.0,-1.0,-1.0,1.590448458,-1
r2n6_0fff,-1.0,-1.0,-1.0,1.827073983,-1
r2n6_0fdc,-1.0,-1.0,-1.0,2.761594731,-1
r2n6_00ef,-1.0,-1.0,-1.0,0.947378609,-1
r2n6_3dfe,-1.0,-1.0,-1.0,1.690821165,-1
r2n7_000043,-1.0,-1.0,-1.0,2.534712,-1
r2n6_06ef,-1.0,-1.0,-1.0,1.427067986,-1
r2n6_01fe,-1.0,-1.0,-1.0,2.44454602,-1
r2n6_01ff,-1.0,-1.0,-1.0,4.341957051,-1
r2n6_0267,-1.0,-1.0,-1.0,1.663084658,-1
r2n6_3fff,-1.0,-1.0,-1.0,9.424267887,-1
r2n7_0001cf,-1.0,-1.0,-1.0,5.587290635,-1
r2n7_0008c7,-1.0,-1.0,-1.0,3.151831653,-1
r2n7_0019cf,-1.0,-1.0,-1.0,4.23353298,-1
r2n7_003b9f,-1.0,-1.0,-1.0,7.505111161,-1
r2n7_0f7fff,-1.0,-1.0,-1.0,7.434836761,-1
r2n7_003bdf,-1.0,-1.0,-1.0,6.021030886,-1
r2n7_007fbc,-1.0,-1.0,-1.0,11.229831339,-1
r2n7_0003df,-1.0,-1.0,-1.0,5.985721798,-1
r1n5_1f,-1.0,-1.0,-1.0,26.294313647,-1
r1n6_1f,-1.0,-1.0,-1.0,31.483205587,-1
r1n6_01,-1.0,-1.0,-1.0,32.190137055,-1
r2n6_001f,-1.0,-1.0,-1.0,44.615185072,-1
r3n6_00001,-1.0,-1.0,-1.0,9.307514396,-1
r2n5_3ff,-1.0,-1.0,-1.0,27.982810238,-1
r2n7_000001,-1.0,-1.0,-1.0,67.82527469,-1
r2n6_16ef,-1.0,-1.0,-1.0,42.42753229,-1
r1n7_03,-1.0,-1.0,-1.0,44.268534112,-1
r2n7_0007fe,-1.0,-1.0,-1.0,77.002322996,-1
r2n7_0007ff,-1.0,-1.0,-1.0,85.055753821,-1
r2n7_0099cf,-1.0,-1.0,-1.0,63.82657856,-1
r3n6_00003,-1.0,-1.0,-1.0,11.033967306,-1
r3n6_00007,-1.0,-1.0,-1.0,26.107592582,-1
r3n6_00013,-1.0,-1.0,-1.0,20.589298954,-1
r3n7_000000003,-1.0,-1.0,-1.0,50.121977224,-1
r3n6_00036,-1.0,-1.0,-1.0,35.017455911,-1
r3n6_0000f,-1.0,-1.0,-1.0,36.04596446,-1
r3n6_00037,-1.0,-1.0,-1.0,26.255846126,-1
r3n6_00413,-1.0,-1.0,-1.0,52.603014279,-1
r3n6_0007e,-1.0,-1.0,-1.0,32.9078719,-1
r3n6_0007f,-1.0,-1.0,-1.0,36.148795975,-1
r3n6_00c36,-1.0,-1.0,-1.0,81.027094137,-1
r3n6_00c37,-1.0,-1.0,-1.0,42.776480819,-1
r3n7_000008023,-1.0,-1.0,-1.0,118.515024891,-1
r3n6_000b7,-1.0,-1.0,-1.0,65.366872983,-1
r3n6_001ef,-1.0,-1.0,-1.0,42.25332088,-1
r3n6_02cb3,-1.0,-1.0,-1.0,38.843063789,-1
r3n6_01c7e,-1.0,-1.0,-1.0,76.958636368,-1
r3n6_01c7f,-1.0,-1.0,-1.0,83.380693867,-1
r3n6_079e0,-1.0,-1.0,-1.0,170.405085924,-1
r3n6_0fff0,-1.0,-1.0,-1.0,94.503717984,-1
r3n6_001ff,-1.0,-1.0,-1.0,68.123453447,-1
r3n6_079e3,-1.0,-1.0,-1.0,48.091760124,-1
r3n6_079ef,-1.0,-1.0,-1.0,91.233472403,-1
r3n6_02cb7,-1.0,-1.0,-1.0,129.958449756,-1
r3n6_07dfd,-1.0,-1.0,-1.0,53.937405535,-1
r3n7_000000067,-1.0,-1.0,-1.0,105.410055332,-1
r3n6_07df3,-1.0,-1.0,-1.0,108.739878641,-1
r3n6_003ff,-1.0,-1.0,-1.0,210.144160078,-1
r3n7_000018066,-1.0,-1.0,-1.0,274.200877846,-1
r3n6_0fff7,-1.0,-1.0,-1.0,64.427416462,-1
r1n6_3f,-1.0,-1.0,-1.0,1160.87400665,-1
r3n6_7fffe,-1.0,-1.0,-1.0,315.967052463,-1
r3n6_379ff,-1.0,-1.0,-1.0,119.059322302,-1
r2n6_7fff,-1.0,-1.0,-1.0,1225.917861687,-1
r3n7_000018067,-1.0,-1.0,-1.0,175.78340305,-1
r3n6_07dff,-1.0,-1.0,-1.0,140.986823081,-1
r2n7_05bbdf,-1.0,-1.0,-1.0,-1.0,-1
r3n6_0ffff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7efdf,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7efff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7efdd,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000fff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00003f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0003f0fc3,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0001b86ed,-1.0,-1.0,-1.0,-1.0,-1
r3n6_37dff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0005b96e0,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0005b96e7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000f7bde0,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7ffff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_12cb7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000003dfe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0165996ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0005b96ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0165b96ee,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000007fff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_fffff,-1.0,-1.0,-1.0,-1.0,-1
r1n7_7f,-1.0,-1.0,-1.0,-1.0,-1
r0n2_1,-1.0,-1.0,-1.0,-1.0,-1
r0n3_1,-1.0,-1.0,-1.0,-1.0,-1
r0n4_1,-1.0,-1.0,-1.0,-1.0,-1
r0n5_1,-1.0,-1.0,-1.0,-1.0,-1
r0n6_1,-1.0,-1.0,-1.0,-1.0,-1
r0n7_1,-1.0,-1.0,-1.0,-1.0,-1
r1n7_01,-1.0,-1.0,-1.0,-1.0,-1
r1n7_07,-1.0,-1.0,-1.0,-1.0,-1
r1n7_0f,-1.0,-1.0,-1.0,-1.0,-1
r1n7_1f,-1.0,-1.0,-1.0,-1.0,-1
r1n7_3f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00000f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00001f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0000c6,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0000c7,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0001ce,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0003de,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00198f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_003b9c,-1.0,-1.0,-1.0,-1.0,-1
r2n7_007fbf,-1.0,-1.0,-1.0,-1.0,-1
r2n7_007fff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_01b3de,-1.0,-1.0,-1.0,-1.0,-1
r2n7_01b3df,-1.0,-1.0,-1.0,-1.0,-1
r2n7_01bbdf,-1.0,-1.0,-1.0,-1.0,-1
r2n7_03f73f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_03f7fe,-1.0,-1.0,-1.0,-1.0,-1
r2n7_03f7ff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_03ffff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0f7fbf,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0fffff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_1fffff,-1.0,-1.0,-1.0,-1.0,-1
r3n4_f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000001,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000007,-1.0,-1.0,-1.0,-1.0,-1
r3n7_00000000f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_00000001f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000023,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000066,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000000ee,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000000ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000001fe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000001ff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000267,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000006cf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000006ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000fdc,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000fdf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000016ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000003dff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000003fff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000380ee,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000380ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000781fe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000781ff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000098263,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000098267,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0001b06c0,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0001b06c3,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0001b06cf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0001b86e3,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0001b86ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0003f0fc0,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0003f0fdc,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0003f0fdf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0003f8fe3,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0003f8ffd,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0003f8fff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000f7bde7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000f7bdfe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000f7bdff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000ffbfe0,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000ffbfe7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000ffbffb,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000ffbfff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_001ffffe0,-1.0,-1.0,-1.0,-1.0,-1
r3n7_001ffffef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_001ffffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_002098267,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0061b06ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0061b86ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_00e3f0fdc,-1.0,-1.0,-1.0,-1.0,-1
r3n7_00e3f0fff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_00e3f8fff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0165996ad,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0165996af,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0165b96ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03cf03dfe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03cf1bd9f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03cf7bdfe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03cf7bdff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03ef9bfbd,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03ef9bfbf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03ef9bfff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03efebfba,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03efebfdf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03efebfff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03effbffe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_03effbfff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_07ff87ffe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_07ffbfeee,-1.0,-1.0,-1.0,-1.0,-1
r3n7_07ffbff7b,-1.0,-1.0,-1.0,-1.0,-1
r3n7_07ffbff7f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_07ffbffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_07ffffffe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_07fffffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0965b96ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_1bcffbffb,-1.0,-1.0,-1.0,-1.0,-1
r3n7_1bcffbfff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_1beffbfff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7eefd7f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7eefdff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7eeffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7effd6f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7effdfe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7effdff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7efffbf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7efffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7ffffef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7fffff7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7ffffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3ffff7fff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3ffffffff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_3f7eefd6f,-1.0,-1.0,-1.0,-1.0,-1
